来源,标题,开始时间,结束时间,链接
﻿货物,国电湖南宝庆煤电有限公司2019年度粉煤灰（通用）销售招标【二次挂网】招标公告,2019-04-03 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27957.jhtml
﻿货物,国电福州发电有限公司卸船机小车与轨道采购项目招标【二次挂网】招标公告,2019-04-03 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27958.jhtml
﻿货物,国电福州发电有限公司#1、2机组热工环保设施优化改造物资（氧氮气体分析仪等）招标采购招标公告,2019-04-03 09:00,2019-04-11 12:00,http://www.cgdcbidding.com:80/ggsb/27959.jhtml
﻿货物,国电电力内蒙古天和风电场风机发电能力提升项目风力发电机组设备采购招标公告,2019-04-03 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27963.jhtml
﻿货物,国电电力内蒙古天和风电场风机发电能力提升项目塔筒采购招标公告,2019-04-03 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27965.jhtml
﻿货物,国电吕梁马坊二期48MW风电工程风力发电机组采购招标【二次挂网】招标公告,2019-04-03 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27967.jhtml
﻿货物,贵州松桃盘石（49.5MW）风电项目风力发电机组设备采购项目【二次挂网】招标公告,2019-04-03 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27968.jhtml
﻿货物,国电阳宗海发电有限公司3号4号发变组保护装置招标公告,2019-04-03 09:00,2019-04-12 16:00,http://www.cgdcbidding.com:80/ggsb/27971.jhtml
﻿货物,盐池麻黄山风电场国电二期49.5MW风电项目风机塔筒及附件采购招标公告,2019-04-03 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27975.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年上半年国产高压驱动器【二次挂网】招标公告,2019-04-02 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27977.jhtml
